year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
2000,7,0.0,3205.571428714286,10.689888174285715,9.678445481428572
2001,15,0.26666666666666666,3890.9333333333334,11.086764544,10.914325592666668
2002,28,0.21428571428571427,4159.857142964285,11.565825916071429,11.078676310357142
2003,30,0.2,3802.999999933333,11.523421891333333,10.852608429333335
2004,33,0.21212121212121213,4760.606060787878,11.576662443636366,11.260394875151515
2005,42,0.2857142857142857,5180.738095285715,11.379492571428571,12.218786626428571
2006,52,0.3076923076923077,4812.807692173076,11.547084589230767,13.151008282307693
2007,60,0.26666666666666666,4730.616666783333,11.51849299416667,11.542560298166666
2008,74,0.28378378378378377,5811.2837837972975,11.813142146486488,14.292778640405404
2009,71,0.39436619718309857,6156.915492943662,11.871017757323944,14.60370360169014
2010,103,0.33980582524271846,5867.524271660194,12.225828708155339,14.424995997961167
2011,127,0.33070866141732286,6031.047244181102,12.237379456062992,14.35263335102362
2012,170,0.3176470588235294,6754.305882435294,12.48229617977647,14.482720575852941
2013,178,0.3146067415730337,7342.073033640449,12.491559310337081,14.551677227808987
2014,180,0.29444444444444445,7424.277777888889,12.531934790944444,14.543866758055556
2015,202,0.3465346534653465,7943.88118789109,12.562447344851487,14.64526670292079
2016,204,0.3480392156862745,8660.411764843137,12.782905465539216,14.867781760735292
2017,173,0.43352601156069365,9820.005780173411,12.806010246011558,14.723380070867053
2018,137,0.5182481751824818,13610.277372970802,12.914008371839415,14.98380107788321
2019,167,0.47904191616766467,14955.976047245507,12.677534003389221,14.728942793892212
1999,1,0.0,1628.0,10.21693182,0.0
