year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
1998,18,0.4444444444444444,3595.722222,12.42987298,14.55134123
1999,114,0.2894736842105263,4647.04386,12.43144337,14.44173919
2000,539,0.26159554730983303,4862.181818,12.17956943,14.40932409
2001,940,0.2734042553191489,5401.87234,12.27923177,14.53039347
2002,1422,0.29043600562587907,5693.192686,12.48107312,14.69337744
2003,1850,0.29027027027027025,5966.120540999999,12.52604488,14.66619015
2004,2480,0.28588709677419355,6274.125,12.61877271,14.84502499
2005,2934,0.29175187457396046,6531.634628,12.64181928,14.90640328
2006,4141,0.3120019319005071,6932.372374,12.74813291,15.00482724
2007,5181,0.3352634626519977,7069.725922,12.83781916,15.09481014
2008,6281,0.3572679509632224,7120.136602,12.86642263,15.12103962
2009,6426,0.3787737317149082,7384.544195,12.92910501,15.18380636
2010,8818,0.38988432751190744,7528.4296890000005,12.9795067,15.24105135
2011,11862,0.3844208396560445,7826.226353,12.97665562,15.2744893
2012,14433,0.3956904316496917,8077.7312409999995,12.99405639,15.24752331
2013,16053,0.4067775493677194,8491.030648,13.04490314,15.26701064
2014,17148,0.4138091905761605,9017.497842,13.10298648,15.30764065
2015,18232,0.4299034664326459,9473.497312000001,13.14635507,15.34100377
2016,18421,0.43227837793822266,9836.699256,13.14370518,15.34893895
2017,15553,0.44775927473799265,10653.06378,13.22157885,15.37446438
2018,11977,0.5283459964932787,13857.964259999999,13.35070395,15.43947633
2019,12167,0.5635736007232679,15821.39065,13.42022033,15.48209589
