year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
2004,1,0.0,3926.0,,
2005,3,0.3333333333333333,6962.333333,12.89964847,15.38157575
2006,3,0.3333333333333333,6562.333333,12.78398239,14.7901945
2007,4,0.5,7880.5,12.78398239,14.7901945
2008,7,0.2857142857142857,5422.0,12.10434313,14.7901945
2009,6,0.0,3493.833333,12.52873533,
2010,8,0.0,5734.0,13.61003826,16.19772041
2011,10,0.0,4906.4,12.76341102,14.67731213
2012,12,0.0,4342.166667,12.94670113,14.59352938
2013,13,0.0,4216.076923,13.55900159,15.50499306
2014,10,0.1,5084.1,13.17367605,15.12630987
2015,17,0.11764705882352941,4088.294118,13.27956702,14.17939134
2016,8,0.125,3280.25,14.04190893,14.50688674
2017,8,0.0,2666.25,13.54302625,
2018,5,0.0,2804.0,14.35730917,
2019,1,1.0,14137.0,15.63239531,15.55787943
