year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
2010,1,0.0,2167.0,12.99962916,
2011,3,0.0,4621.666667,12.57236469,15.47004243
2012,2,0.0,2247.0,12.7196779,
2013,3,0.0,3826.666667,12.16833746,13.66288365
2014,3,0.0,3826.0,12.15931483,13.66288365
2015,2,0.0,2247.0,12.7196779,
2016,5,0.4,7760.0,13.34715773,16.31774898
2017,5,0.6,18362.4,14.00291885,17.10739183
2018,3,0.3333333333333333,15448.0,13.537480599999999,16.14888907
2019,11,0.45454545454545453,12882.54545,12.88837218,15.13663712
