year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
2007,626,0.4584664536741214,6915.250799099042,12.496155054464856,14.956497914808308
2008,811,0.4599260172626387,6541.540073837237,12.557091589779281,14.882291003020958
2009,896,0.4486607142857143,6639.584821389508,12.583437806118303,14.947619539151786
2010,1303,0.4512663085188028,7496.552570666156,12.83058154108979,15.1438641257099
2011,1756,0.4527334851936219,8308.336560341117,12.952826429083144,15.142200496361049
2012,2121,0.47336162187647335,8843.896746752478,12.996890284540317,15.26684628010844
2013,2312,0.4666955017301038,9290.7400518391,12.994109124126297,15.179130208386677
2014,2462,0.4695369618196588,9339.270511735987,12.937576042627947,15.117822886531272
2015,2637,0.4520288206295032,9330.451270219188,12.910783407990142,15.06805592241183
2016,2823,0.46156571023733617,9587.854764333335,12.863867238267805,15.03051560210769
2017,2660,0.4789473684210526,10222.052631063536,12.889126298403761,15.047020781443615
2018,2230,0.4968609865470852,12128.251568170852,12.794379034515698,14.969603275008971
2019,2152,0.5357806691449815,14341.446561872213,12.758201930390337,14.873307934916358
2005,342,0.4473684210526316,6568.298245488304,12.181706766959062,14.633316868976609
2006,491,0.47657841140529533,6970.822810615073,12.330721694806519,14.640632962443993
1999,6,0.3333333333333333,4258.333333166666,11.739610265000001,6.962557025
2000,58,0.39655172413793105,5887.603448172414,11.650835443896554,13.139330389482758
2001,87,0.41379310344827586,4964.747126586207,11.48537144848276,13.228215879425285
2002,148,0.46621621621621623,5187.141891831081,11.846948630824324,13.434445455405404
2003,196,0.45918367346938777,5862.219388010205,11.964734327438777,14.002401725459187
2004,263,0.45627376425855515,5880.897338406844,12.082733255977184,14.490144014600762
