year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
2000,1,0.0,988.0,10.142790699999999,
2001,3,0.0,2717.333333,10.6468004,
2002,9,0.0,3802.111111,12.45324283,15.64991552
2003,10,0.0,4047.9,11.95811625,16.08357124
2004,10,0.2,4899.6,11.49450204,15.1604989
2005,13,0.15384615384615385,4780.076923,11.82979844,15.82373786
2006,20,0.2,5475.05,11.45806408,14.68499705
2007,18,0.1111111111111111,5277.555556,11.22443845,15.05447502
2008,23,0.17391304347826086,4788.391304,11.57656417,15.41332364
2009,27,0.18518518518518517,3977.407407,12.14675797,15.42983957
2010,49,0.2857142857142857,5197.408163,12.92312715,15.69752915
2011,63,0.30158730158730157,5774.174603,12.84458636,15.65467814
2012,70,0.3142857142857143,5768.3,12.76607646,15.4596584
2013,90,0.3333333333333333,6121.6,12.73135975,15.42437552
2014,90,0.32222222222222224,6122.622222,13.01098654,15.295074
2015,116,0.3017241379310345,6114.681034,12.86103809,15.18446794
2016,127,0.29133858267716534,5264.299213,12.78577753,15.09336487
2017,140,0.37857142857142856,4840.107143,12.65025044,14.89456942
2018,124,0.3790322580645161,5334.629032,12.37833381,14.80609725
2019,115,0.3739130434782609,7478.504348,12.3971891,14.71097043
