year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
2014,196,0.4489795918367347,8077.387755260204,12.610059646734694,14.580988283724489
2015,221,0.46153846153846156,8252.809954638009,12.546350868199093,14.80455941113122
2016,237,0.4767932489451477,8853.059071552743,12.659577104312238,14.778301606877637
2017,224,0.48214285714285715,9157.616071348215,12.758334893544642,14.423925812276787
2011,142,0.39436619718309857,6745.950704183098,11.992416579295776,14.158332955140846
2012,158,0.43670886075949367,7706.398733468353,11.9849991021519,14.017251808417722
2013,185,0.4648648648648649,7936.021621481083,12.218598321567567,14.365977698756756
2019,224,0.5669642857142857,12365.66518049107,13.25079037330357,15.242697846607143
2005,63,0.49206349206349204,6011.571428412698,12.06214653,14.518151333492062
2006,85,0.49411764705882355,6137.564705905883,12.192716758294118,14.122928646470587
2018,196,0.5357142857142857,11652.403060117349,13.093671645459183,15.054781231938776
2002,37,0.5945945945945946,5918.351351432433,12.20088720324324,13.213707476216218
2003,48,0.5625,5532.645833645834,12.078367919791665,13.571188785208333
2004,52,0.4807692307692308,5781.3846154038465,12.243455673461538,13.366681373846156
2007,82,0.5487804878048781,8306.182926865855,12.068342907439025,13.848805008780488
2008,79,0.5443037974683544,7926.215190101266,11.96977929329114,14.113686211392405
2009,80,0.4625,8075.762499887501,12.3135754615,14.543350839250001
2010,107,0.40186915887850466,7312.074766373832,11.943888520841124,14.291065523457943
2000,20,0.55,6991.1,12.640185162,14.850225691
2001,26,0.46153846153846156,6154.153846461539,12.462239972307692,14.323552697692309
1999,2,0.0,5299.0,14.73675892,16.0302975
