year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
1999,1,0.0,5299.0,14.73675892,16.0302975
2000,4,0.75,7994.0,12.63809604,14.6263728
2001,2,1.0,7373.0,12.28510739,13.0238668
2002,4,1.0,7225.0,12.460181599999999,13.15943665
2003,4,1.0,7122.75,12.38396834,13.2950065
2004,2,1.0,5291.0,13.819822199999997,
2005,5,1.0,5656.0,14.39983316,16.57054783
2006,6,1.0,6206.0,14.02874134,15.86405531
2007,9,0.6666666666666666,10940.77778,13.11305407,16.30579084
2008,9,0.7777777777777778,10216.88889,12.68538979,15.48485982
2009,10,0.7,12054.2,12.51508747,15.58818665
2010,10,0.5,9285.6,12.01875772,15.38972122
2011,12,0.5,9978.083333,12.84716775,15.54029853
2012,12,0.5833333333333334,11118.83333,12.71030006,14.91919365
2013,10,0.5,10439.4,13.34392989,15.24217592
2014,10,0.4,9404.1,13.43377446,15.36368291
2015,10,0.6,9992.9,12.56053289,14.58114129
2016,15,0.5333333333333333,11540.06667,12.70129487,14.56503808
2017,15,0.4666666666666667,10517.73333,13.21310911,14.899760800000001
2018,14,0.5714285714285714,12732.28571,13.45722528,14.88282558
2019,18,0.6111111111111112,14490.38889,13.77753438,15.55402381
