year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
1999,1,0.0,1607.0,,
2000,1,1.0,11725.0,11.03485036,14.36255379
2001,1,1.0,11725.0,11.03485036,14.36255379
2003,1,1.0,7632.0,15.05097659,16.84762313
2004,2,1.0,7632.0,15.05097659,16.84762313
2005,1,1.0,6567.0,10.01607818,
2006,2,0.0,2567.0,10.31660839,
2007,3,0.0,2851.0,10.56110016,
2008,3,0.0,2851.0,10.56110016,
2009,1,0.0,2400.0,10.56110016,
2010,2,0.0,3881.5,11.59004752,15.11225768
2011,4,0.5,16648.0,11.88338544,14.43534447
2012,5,0.8,18835.4,13.6978557,16.21253862
2013,7,0.8571428571428571,19998.85714,14.75462249,16.04079832
2014,4,1.0,25423.25,15.62131473,16.10496823
2015,6,0.5,18038.0,13.96342389,15.03949561
2016,6,0.5,16595.83333,13.46264821,14.15269896
2017,4,0.75,26881.75,14.42916754,15.39948966
2018,4,1.0,24736.5,14.74713653,15.16483419
2019,4,1.0,24656.75,14.69361394,15.15328796
