year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
2000,1,1.0,32241.0,14.43536868,15.5140388
2001,4,0.75,18372.0,13.60790281,15.19422338
2003,2,0.5,6325.5,12.28861117,13.96641459
2004,2,1.0,5990.5,13.56972163,14.11778686
2005,3,0.6666666666666666,4288.333333,13.71221776,15.30190201
2006,9,0.4444444444444444,4601.333333,12.78578781,15.55332421
2007,15,0.4,8132.6,13.16353061,15.75335644
2008,25,0.6,9770.92,13.36469662,15.737444400000001
2009,30,0.6,11296.2,13.84979723,15.94282441
2010,51,0.5294117647058824,16135.09804,13.79784695,15.82077807
2011,59,0.4576271186440678,9168.372881000001,13.33960842,15.49973218
2012,81,0.37037037037037035,8445.777778,13.26869952,15.42472925
2013,82,0.4146341463414634,8542.012195000001,13.30356536,15.46393816
2014,81,0.4567901234567901,9977.530864,13.47976803,15.71357012
2015,97,0.36082474226804123,9569.329897,13.27415284,15.36801041
2016,84,0.32142857142857145,9870.309524,13.08180847,15.37670072
2017,73,0.3972602739726027,10755.09589,13.155695999999999,15.10828852
2018,55,0.45454545454545453,13912.090909999999,13.14836688,15.03796439
2019,63,0.47619047619047616,14528.03175,12.94056618,15.12732866
