year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
2006,2,0.0,3167.0,12.3411882,
2007,2,0.0,3167.0,12.3411882,
2008,3,0.3333333333333333,2991.0,12.8457689,
2009,4,0.5,2896.5,13.09805926,
2010,3,0.3333333333333333,2982.333333,12.8457689,
2011,3,0.6666666666666666,2859.0,13.35034961,
2012,4,0.5,2982.0,13.09805926,
2013,4,0.5,3307.0,13.35418238,
2014,6,0.6666666666666666,6226.5,13.41078813,14.75647875
2015,5,0.6,4990.0,13.31915844,14.26529262
2016,4,0.5,39930.75,12.92505875,13.66288365
2017,4,0.75,3543.5,14.03982005,
2018,2,1.0,2613.0,13.85493031,
2019,4,0.75,58923.5,11.85632862,12.12988955
