year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1999,1,0.0,3630.0,9.315502727,11.79290869,True,advertising;business
2000,1,0.0,1687.0,11.52714286,,True,advertising;business
2001,3,2.0,2923.3333333333335,13.946356783333334,,True,advertising;business
2002,4,8.5,4071.25,11.403657455,3.529446715,True,advertising;business
2003,4,0.0,2273.25,12.1371477675,,True,advertising;business
2004,4,0.75,6982.0,11.8807640625,7.1081167725,True,advertising;business
2005,9,0.0,7462.666666666667,12.300903900000002,9.810932587777778,True,advertising;business
2006,24,1.0833333333333333,6539.625,12.232806525,9.066959516666666,True,advertising;business
2007,31,2.129032258064516,8000.903225806452,12.55664138064516,10.578759206451611,True,advertising;business
2008,45,3.0,8169.311111111111,12.788561026666667,11.139437584444444,True,advertising;business
2009,49,3.9591836734693877,7813.040816326531,12.989445304081633,11.495059285714284,True,advertising;business
2010,91,3.021978021978022,7836.945054945055,12.560891703296702,10.076595676923077,True,advertising;business
2011,117,2.7435897435897436,8173.675213675214,12.639967811965812,10.763868897435897,True,advertising;business
2012,125,2.72,7628.504,12.734276640000001,10.010182632,True,advertising;business
2013,135,2.8814814814814813,7675.2444444444445,12.584102600000001,10.319437355555555,True,advertising;business
2014,171,2.9415204678362574,8022.713450292397,12.53259607017544,9.755856719298245,True,advertising;business
2015,192,2.4479166666666665,8426.515625,12.923853119791666,9.939935786458333,True,advertising;business
2016,202,2.103960396039604,8469.881188118812,13.025967301980197,9.725442128712873,True,advertising;business
2017,189,2.126984126984127,8680.513227513227,13.053265291005289,10.321625682539683,True,advertising;business
2018,163,2.920245398773006,10439.386503067484,12.849631638036811,11.924590809815951,True,advertising;business
2019,132,2.803030303030303,11598.651515151516,13.25222484090909,12.947583818181817,True,advertising;business
