year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
2005,1,1.0,21346.0,14.06444715,16.36328637
2006,2,1.0,3146.0,11.925959599999999,0.0
2007,1,1.0,3154.0,11.98555556,0.0
2010,1,1.0,12480.0,14.28470941,15.02112968
2011,1,1.0,12480.0,14.28470941,15.02112968
2012,1,1.0,13321.0,14.56251713,15.42588865
2013,1,1.0,19279.0,14.09422327,14.88311306
2014,1,1.0,19279.0,14.09422327,14.88311306
2016,2,1.0,19354.0,14.23137232,15.24766489
2017,2,1.0,19354.0,14.23137232,15.24766489
2018,2,1.0,19354.0,14.23137232,15.24766489
2019,2,1.0,19354.0,14.23137232,15.24766489
