year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
2009,44,0.20454545454545456,5479.181818227273,12.47183506659091,14.993165132272729
2010,67,0.208955223880597,4458.208955522387,11.877998094328357,13.873628119253732
2011,93,0.1935483870967742,5127.827956903226,12.165297598172044,14.334388073655912
2012,96,0.16666666666666666,4358.083332906251,12.326979028020832,13.92813880875
2013,124,0.1935483870967742,4815.024193854839,12.53454028935484,14.261110236935485
2014,134,0.26865671641791045,5182.507462686567,12.452903526791046,14.32937758619403
2015,149,0.2483221476510067,5289.543624342282,12.568712970671143,14.44462802704698
2016,151,0.24503311258278146,5217.655629410596,12.49193379152318,14.783587972384105
2017,136,0.22058823529411764,5715.676470566176,12.683126622205883,15.01259232139706
2018,99,0.30303030303030304,8009.888888787879,12.679631761717173,15.36282621151515
2019,93,0.26881720430107525,9325.182795602152,12.389034292580648,14.465146453010753
1999,1,0.0,2405.0,11.55144225,0.0
2000,2,0.0,2405.0,11.55144225,0.0
2001,6,0.16666666666666666,2755.5,11.49284091,16.0302975
2002,10,0.0,2409.2,12.10151161,0.0
2003,10,0.0,2644.7,12.30413821,15.20269789
2004,11,0.0,3864.9090909999995,12.082989069999998,14.80510934
2005,16,0.125,4046.5,12.26277955,14.75880035
2006,25,0.16,4312.32,12.36915857,14.88526556
2007,35,0.22857142857142856,4967.114285314286,12.142452115714287,14.429693491714286
2008,37,0.2972972972972973,5732.513514,12.02935617,15.734453650000003
