year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
0.0,2,0.0,2263.5,10.07608048,
0.0,2,0.0,4022.0,10.08272683,12.4579756
0.0,7,0.0,2924.142857,10.96697602,12.4579756
0.0,11,0.0,3270.090909,11.16471739,12.7409212
0.0,13,0.0,3068.461538,11.04198804,12.7409212
0.0,11,0.0,2945.636364,11.36544501,12.4579756
0.0,14,0.0,3371.285714,11.91260732,14.6021
0.0,15,0.0,3251.0,11.7039825,14.6021
0.0,14,0.0,3349.142857,11.91260732,14.6021
0.0,15,0.0,3163.8666670000002,11.60050909,14.6021
0.0,11,0.0,3315.454545,11.47257095,14.6021
0.0,5,0.0,2998.6,11.385130499999999,
