year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
2000,3,0.3333333333333333,6517.666667,12.79076058,14.52708215
2001,2,0.5,7661.5,13.19868854,16.0302975
2002,2,0.0,2366.0,10.69319018,
2003,1,0.0,2366.0,10.69319018,
2004,3,0.6666666666666666,11553.33333,13.054600599999999,14.4899054
2006,3,0.0,7679.666667,11.66315815,14.54256016
2007,9,0.2222222222222222,10490.0,13.36082888,15.557894199999998
2008,13,0.3076923076923077,11165.38462,12.96336713,15.07406763
2009,16,0.3125,10817.6875,12.84254812,14.59156578
2010,16,0.3125,10378.6875,13.57057334,15.86004203
2011,18,0.3333333333333333,7330.944444,12.08280453,14.15190289
2012,19,0.42105263157894735,6404.421053,12.27269657,13.75572551
2013,27,0.48148148148148145,9774.111111,12.66284039,14.21464439
2014,31,0.5806451612903226,14705.35484,13.24187884,14.86436356
2015,22,0.5,10941.863640000001,12.683858800000001,14.3599478
2016,30,0.6,33034.2,12.56479552,14.50211891
2017,26,0.6538461538461539,41018.88462,12.83334172,14.64913716
2018,19,0.5789473684210527,42665.42105,12.70378496,13.93980523
2019,15,0.5333333333333333,43194.4,12.62790439,14.08793175
