year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
2004,1,1.0,9364.0,0.0,0.0
2000,1,0.0,3593.0,10.90383004,13.5591
2001,2,0.0,3230.0,11.20971917,0.0
2002,2,0.0,3222.0,11.463215199999999,0.0
2003,1,0.0,3222.0,11.463215199999999,0.0
2005,1,0.0,3163.0,11.90566114,0.0
2006,1,0.0,3020.0,13.05819706,0.0
2007,1,1.0,3906.0,11.49135294,14.83674596
2009,3,1.0,4002.3333333333335,12.137890400000002,9.68715976
2010,8,1.0,9356.7500025,14.6027651325,12.12620721
2011,3,1.0,11408.333333333334,14.840319253333334,10.84433548
2012,6,1.0,12382.0,15.210892376666665,16.415383950000002
2013,7,1.0,11311.57142857143,14.82278249,15.969962521428572
2014,10,1.0,11570.999999,14.463279639000001,15.920944509999998
2015,15,0.8666666666666667,12399.933333333332,13.705347422,15.472241871333331
2016,24,0.625,10751.24999875,13.045750774583334,15.11688811875
2017,15,0.8,11505.400002000002,13.255003908,15.115927288
2018,25,0.6,13325.360000800001,13.0506097416,15.175236726400001
2019,30,0.6333333333333333,12486.0,13.362320254,15.361089562
