year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1999,1,0.0,1577.0,9.473396825,,True,business;jobrelated
2000,13,0.6153846153846154,3683.0,11.670377476923077,4.3730643169230765,True,business;jobrelated
2001,28,1.1785714285714286,6290.071428571428,12.788234935714284,8.54299049642857,True,business;jobrelated
2002,50,0.96,7241.54,12.054227330000002,11.12668036,True,business;jobrelated
2003,61,1.2950819672131149,7083.311475409836,12.35871032786885,9.257018855737705,True,business;jobrelated
2004,96,3.3541666666666665,6883.90625,11.4981901875,9.816725700000001,True,business;jobrelated
2005,105,3.3142857142857145,7494.238095238095,11.960410152380952,10.236157495238094,True,business;jobrelated
2006,148,3.1283783783783785,7836.209459459459,12.408724777027027,11.084545175675675,True,business;jobrelated
2007,159,1.949685534591195,7988.534591194969,12.831092125786164,11.694104628930816,True,business;jobrelated
2008,200,2.715,8000.565,12.779614465,12.124575205000001,True,business;jobrelated
2009,222,2.59009009009009,7742.657657657658,12.649593891891891,11.591498207207207,True,business;jobrelated
2010,277,2.9097472924187726,8505.249097472924,12.68465332129964,11.297109541516246,True,business;jobrelated
2011,347,2.6714697406340058,8558.951008645534,12.683571806916426,11.460334498559078,True,business;jobrelated
2012,437,2.780320366132723,9602.443935926773,12.817202800915332,11.760509858123568,True,business;jobrelated
2013,479,2.906054279749478,10251.394572025052,12.93949897494781,11.562066498956158,True,business;jobrelated
2014,458,2.0480349344978164,9927.510917030568,12.997984375545851,11.217890491266376,True,business;jobrelated
2015,518,2.198841698841699,10716.324324324325,13.06741884942085,11.476890001930503,True,business;jobrelated
2016,511,1.9549902152641878,10707.207436399218,12.821924561643835,11.111175154598826,True,business;jobrelated
2017,457,2.549234135667396,12285.442013129103,12.986138737417942,12.171138737417943,True,business;jobrelated
2018,291,2.4742268041237114,14758.43642611684,13.310538680412373,12.487326096219931,True,business;jobrelated
2019,316,3.3702531645569622,17233.943037974685,12.966184648734178,12.688888424050633,True,business;jobrelated
