year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
2001,1,0.0,2013.0,10.55957046,
2002,2,0.0,2013.0,10.55957046,
2003,2,0.0,2013.0,10.55957046,
2004,4,0.0,4417.0,12.47113571,14.52654402
2005,2,0.0,4609.0,12.38202922,14.21634208
2006,2,0.0,2013.0,10.55957046,
2007,3,0.3333333333333333,5973.333333,12.91723283,18.52881045
2008,4,0.5,7953.5,14.09606402,18.52881045
2009,4,0.5,7954.5,14.09606402,18.52881045
2010,3,0.6666666666666666,10237.0,15.42715306,18.91255403
2011,6,0.6666666666666666,9016.166667,14.74314496,18.20747876
2012,7,0.7142857142857143,10239.0,14.33620796,17.17320411
2013,9,0.7777777777777778,10598.88889,13.94593907,16.17784494
2014,14,0.8571428571428571,10503.07143,13.84959889,15.93922392
2015,11,0.8181818181818182,10456.909090000001,13.76478897,16.04921168
2016,10,0.8,8991.1,13.87346164,16.67852682
2017,12,0.8333333333333334,9867.75,14.08395312,16.53633179
2018,11,0.8181818181818182,14090.45455,13.98746786,15.64363489
2019,4,0.75,16450.75,13.48733732,15.69031615
