year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2000,2,0.0,2239.5,13.85295238,0.0,False,business;searchenginesandportals - business;searchenginesandportals;shopping - 
2001,2,0.0,2235.0,13.85295238,0.0,False,business;searchenginesandportals - business;searchenginesandportals;shopping - 
2002,2,0.0,2235.0,13.85295238,0.0,False,business;searchenginesandportals - business;searchenginesandportals;shopping - 
2003,2,0.0,2235.0,13.85295238,0.0,False,business;searchenginesandportals - business;searchenginesandportals;shopping - 
2004,2,0.0,2235.0,13.85295238,0.0,False,business;searchenginesandportals - business;searchenginesandportals;shopping - 
2005,2,0.0,2235.0,13.85295238,0.0,False,business;searchenginesandportals - business;searchenginesandportals;shopping - 
2006,3,0.0,7561.333333333333,14.259993223333334,5.3992841799999995,False,business;searchenginesandportals - business;searchenginesandportals;shopping - 
2007,2,0.0,2235.0,13.85295238,0.0,False,business;searchenginesandportals - business;searchenginesandportals;shopping - 
2008,3,0.0,4645.666666666667,13.475250090000001,5.037419226666667,False,business;searchenginesandportals - business;searchenginesandportals;shopping - 
2009,3,0.0,4631.333333333333,13.475250090000001,5.037419226666667,False,business;searchenginesandportals - business;searchenginesandportals;shopping - 
2010,3,0.0,1425.6666666666667,4.6176507933333335,0.0,False,business;searchenginesandportals - business;searchenginesandportals;shopping - 
2011,6,3.3333333333333335,2861.3333333333335,9.355801896666668,9.124753735,False,business;searchenginesandportals - business;searchenginesandportals;shopping - 
2012,5,4.8,7901.6,11.20594854,13.461735804,False,business;searchenginesandportals - business;searchenginesandportals;shopping - 
2013,4,6.0,5759.0,10.032231325,12.24110419,False,business;searchenginesandportals - business;searchenginesandportals;shopping - 
2014,4,6.0,6454.25,10.326684585,12.59424181,False,business;searchenginesandportals - business;searchenginesandportals;shopping - 
2015,3,6.333333333333333,6638.666666666667,10.348211186666667,12.453318543333333,False,business;searchenginesandportals - business;searchenginesandportals;shopping - 
2016,4,4.75,11096.25,12.764497585,14.701464665,False,business;searchenginesandportals - business;searchenginesandportals;shopping - 
2017,9,2.3333333333333335,13202.777777777777,12.850524133333334,12.664176266666667,False,business;searchenginesandportals - business;searchenginesandportals;shopping - 
2018,5,2.8,13840.6,11.461512784,13.806431014000001,False,business;searchenginesandportals - business;searchenginesandportals;shopping - 
2019,7,1.0,16285.142857142857,10.94467163,13.693645545714286,False,business;searchenginesandportals - business;searchenginesandportals;shopping - 
