year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
2000,1,1.0,6107.0,11.11311951,13.91797589
2001,1,1.0,4189.0,9.565396825,0.0
2002,2,1.0,4130.5,9.642036415,0.0
2003,1,1.0,4187.0,9.602857143,0.0
2004,4,0.75,3854.0,12.4762662975,0.0
2005,6,0.6666666666666666,3817.8333333333335,13.382910893333333,0.0
2006,8,0.5,3437.375,13.343223779999999,0.0
2007,12,0.5,4763.083333333333,14.496775353333334,15.404318503333334
2008,7,0.7142857142857143,5281.0,13.588295068571428,15.49975723285714
2009,8,0.5,5835.625,14.761670213750001,14.022781555
2010,15,0.8,7503.466666599999,14.218355994666668,15.508263260000001
2011,15,0.8,7707.0000002,13.615657489999998,15.508387788
2012,16,0.5,5416.125,12.42587378375,12.91923763875
2013,27,0.5555555555555556,6815.888888814814,13.008934613703703,15.094900157407407
2014,30,0.43333333333333335,7544.400000333333,12.803930924666666,14.188452992666669
2015,34,0.47058823529411764,6874.088235235295,12.86759881647059,14.37389416117647
2016,38,0.5263157894736842,7100.289473815789,12.999157115263158,15.150518232894736
2017,33,0.6363636363636364,7971.6363636666665,13.29797634939394,15.572744796060606
2018,24,0.7916666666666666,12818.625,13.190663722083334,14.76423630583333
2019,16,0.6875,13400.43749875,12.9744818125,14.553449893749999
