year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
2006,1,1.0,7318.0,16.16526119,17.65640897
2007,2,1.0,7318.0,16.16526119,17.65640897
2009,2,1.0,4038.0,12.46742063,
2010,2,0.5,5581.0,14.22431864,17.23854248
2011,4,0.5,5740.0,14.17379695,17.00531249
2012,4,0.5,5740.0,14.17379695,17.00531249
2013,4,0.5,5740.0,14.17379695,17.00531249
2014,4,0.5,5740.0,14.17379695,17.00531249
2015,3,0.6666666666666666,5172.666667,13.60500484,17.00531249
2016,2,1.0,4038.0,12.46742063,
2017,1,1.0,4038.0,12.46742063,
