year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
2005,1,0.0,4000.0,12.5408746,14.41086994
2008,2,0.0,3989.0,12.5408746,14.41086994
2010,1,0.0,3989.0,12.5408746,14.41086994
2013,1,0.0,6267.0,12.61461333,14.26529262
2014,3,0.3333333333333333,17976.33333,13.179690540000001,14.85362758
2015,3,0.3333333333333333,17976.33333,13.179690540000001,14.85362758
2016,4,0.75,26392.5,14.26690361,15.47094176
2017,4,1.0,26472.5,15.792584,16.41745988
2018,4,1.0,26638.0,15.56295463,16.28159596
2019,4,1.0,24324.75,15.15912668,15.80833225
