year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
2001,5,1.0,5463.2,10.6678383,13.89093085
2002,8,0.625,6020.375,11.29262367,14.49959938
2003,8,0.5,3994.25,10.831774699999999,14.04098113
2004,7,0.8571428571428571,4188.571429,10.43755885,14.32445407
2005,10,0.6,3567.0,10.32899922,14.71276709
2006,24,0.7083333333333334,6408.208333,11.79589564,14.64663834
2007,26,0.6538461538461539,6596.923077,12.11036411,14.71080348
2008,31,0.6774193548387096,5791.967742,11.94931742,14.64997044
2009,31,0.5483870967741935,7161.516129000001,12.11625083,14.79995642
2010,52,0.5192307692307693,10066.21154,12.59222575,15.231247
2011,74,0.47297297297297297,10402.64865,12.76773293,15.32080652
2012,90,0.4444444444444444,9802.666667,12.64300006,15.21802191
2013,107,0.4485981308411215,9863.476636,12.63382083,15.0394415
2014,131,0.4351145038167939,8943.946565,12.54834844,14.76501465
2015,139,0.460431654676259,9731.676259,12.63389946,14.82312144
2016,140,0.40714285714285714,8358.128571,12.53842164,14.88788871
2017,138,0.42028985507246375,8960.746377,12.60056895,14.79710873
2018,133,0.48120300751879697,10391.79699,12.81883083,15.29689767
2019,138,0.4927536231884058,11934.71739,12.65469195,14.77887122
