year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
1999,2,0.0,3403.5,12.939760245,6.93372112
2000,7,0.0,3462.1428571428573,12.180842088571428,9.905315885714286
2001,8,0.125,4178.75000025,12.22228767,10.729087012499999
2002,10,0.2,4440.4,12.75379452,11.869101768
2003,11,0.2727272727272727,4960.363636,12.42754283,13.90298841
2004,18,0.3888888888888889,5711.944444444444,12.284178175555555,13.852132162222222
2005,25,0.4,6767.999999800001,12.685462059199999,15.0442587232
2006,33,0.48484848484848486,7013.212121151515,12.506578141818181,14.689568186969696
2007,43,0.46511627906976744,7024.744186162791,13.117907090697674,14.767176134418605
2008,46,0.45652173913043476,7767.304348,13.243533937826088,14.928237585652171
2009,39,0.5128205128205128,7810.435897615386,13.12355364923077,14.703155771538462
2010,46,0.5,8285.065217326086,12.934021363260868,15.011201259782611
2011,55,0.43636363636363634,9127.90909081818,12.932230438181818,14.945921848181818
2012,72,0.4305555555555556,8890.180555347222,12.812684656805555,14.90613390291667
2013,80,0.3625,8399.450000174998,12.48770583325,14.894891306375001
2014,88,0.3522727272727273,8964.681818556817,12.694954171818182,14.944562165681818
2015,96,0.3333333333333333,8731.020832958333,12.866849707083333,15.07995092
2016,106,0.3113207547169811,8337.70754709434,12.781285086037737,15.237470940377358
2017,94,0.30851063829787234,8436.765957276595,12.58934737744681,14.851680861595748
2018,85,0.3176470588235294,11271.000002705883,12.878735238588236,15.35623151564706
2019,85,0.43529411764705883,14089.964708823527,13.018704663882353,15.110560715529413
