year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2000,4,5.75,2332.5,7.6591425275,0.0,False,business;education;mediasharing - education;mediasharing - 
2001,5,9.2,2339.6,10.077462504,0.0,False,business;education;mediasharing - education;mediasharing - 
2002,4,11.5,2512.25,9.839367245,0.0,False,business;education;mediasharing - education;mediasharing - 
2003,4,11.5,2437.5,9.8161086375,0.0,False,business;education;mediasharing - education;mediasharing - 
2004,4,7.5,2528.75,10.404021225,3.3370928025,False,business;education;mediasharing - education;mediasharing - 
2005,4,9.25,5750.25,11.13258,10.3949638675,False,business;education;mediasharing - education;mediasharing - 
2006,9,6.666666666666667,6942.444444444444,10.702299541111111,7.800843158888889,False,business;education;mediasharing - education;mediasharing - 
2007,9,2.7777777777777777,8400.666666666666,11.789528548888889,12.27863777,False,business;education;mediasharing - education;mediasharing - 
2008,13,3.076923076923077,9097.307692307691,12.240115287692307,13.327251783846155,False,business;education;mediasharing - education;mediasharing - 
2009,18,2.611111111111111,6146.055555555556,11.173063226666667,9.98117385277778,False,business;education;mediasharing - education;mediasharing - 
2010,30,2.966666666666667,6277.566666666667,12.602456486666664,9.485660363333333,False,business;education;mediasharing - education;mediasharing - 
2011,40,1.925,6771.65,12.574722947499998,9.366393935,False,business;education;mediasharing - education;mediasharing - 
2012,56,2.142857142857143,6075.517857142857,12.795229914285715,7.76839338392857,False,business;education;mediasharing - education;mediasharing - 
2013,62,2.064516129032258,5971.806451612903,12.59044481935484,7.429072227419355,False,business;education;mediasharing - education;mediasharing - 
2014,56,2.2142857142857144,5883.625,12.473715433928572,7.432546117857143,False,business;education;mediasharing - education;mediasharing - 
2015,65,2.2,5803.953846153846,12.492656761538461,7.113783792307692,False,business;education;mediasharing - education;mediasharing - 
2016,68,1.7058823529411764,5205.470588235294,12.413919594117644,6.589282779411765,False,business;education;mediasharing - education;mediasharing - 
2017,65,2.1538461538461537,5347.4,12.313146755384613,6.549094632307693,False,business;education;mediasharing - education;mediasharing - 
2018,53,2.3773584905660377,5359.509433962264,12.555058339622642,6.372147169811321,False,business;education;mediasharing - education;mediasharing - 
2019,51,2.2941176470588234,5189.607843137255,12.409871598039217,6.547579090196078,False,business;education;mediasharing - education;mediasharing - 
