year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
2005,4,0.75,5750.25000025,11.132580002500001,13.7320566725
2006,9,0.4444444444444444,6942.444444444444,10.70229954,13.990173504444444
2007,9,0.4444444444444444,8400.666664333332,11.789528546666666,13.761790130000001
2008,13,0.46153846153846156,9097.30769,12.24011528923077,14.435544604615385
2009,18,0.3888888888888889,6146.055555555556,12.48293923,14.743339825555555
2010,30,0.4666666666666667,6277.5666665,12.602456485000001,14.89133834
2011,40,0.35,6771.65000035,12.5747229455,14.9405512355
2012,56,0.42857142857142855,6075.517857053571,12.795229917499999,14.912779265
2013,62,0.4032258064516129,5971.806451741934,12.590444818225807,14.780825578387098
2014,56,0.4107142857142857,5883.625000142857,12.473715432857144,14.779509825714285
2015,65,0.4153846153846154,5803.953846599999,12.492656762,14.856085838
2016,68,0.3382352941176471,5205.470587970588,12.41391959279412,14.888194640441176
2017,65,0.36923076923076925,5347.400000061538,12.51095286446154,15.075709341384615
2018,53,0.39622641509433965,5359.5094341320755,12.555058338867925,15.199024875094338
2019,51,0.35294117647058826,5189.60784335294,12.409871598235295,15.04210996235294
2000,4,0.25,2332.5,10.21219004,0.0
2001,5,0.4,2339.6,10.0774625,0.0
2002,4,0.5,2512.25,9.839367244,0.0
2003,4,0.5,2437.5,9.816108637000001,0.0
2004,4,0.5,2528.75,10.40402123,13.34837121
