year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
2001,1,0.0,5112.0,13.91582702,15.42588865
2003,2,0.0,10948.5,13.53874957,15.64502455
2004,2,0.0,8324.0,14.975891199999998,16.56721497
2005,2,0.0,3113.5,14.39098592,15.29246565
2006,3,0.3333333333333333,8607.666667,12.61089,15.42580909
2007,3,1.0,13370.33333,11.77279215,14.81753737
2008,3,1.0,13005.33333,13.03437917,15.68079613
2009,3,1.0,10520.66667,12.26231576,14.77391112
2010,8,0.5,8756.375,13.01984733,15.5385182
2011,10,0.4,8751.7,13.30488808,15.53486556
2012,8,0.5,9588.5,12.82101338,15.22053827
2013,9,0.4444444444444444,8713.555556,12.48870713,14.84940658
2014,9,0.4444444444444444,8734.111111,12.53710243,15.02471216
2015,9,0.4444444444444444,8740.555556,12.93375303,15.458064199999999
2016,7,0.42857142857142855,8688.0,13.14883839,15.71715043
2017,4,0.5,7869.0,12.94148116,15.15296622
2018,2,1.0,11246.5,12.73215827,14.99715437
