year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
0.0,2,0.0,3893.0,11.2671502,
0.0,1,0.0,3893.0,11.2671502,
0.0,3,0.0,4810.0,11.38880498,14.00414502
0.0,2,0.0,4734.5,11.49517897,14.13026591
0.25,4,0.25,6021.0,13.15980535,16.11806795
0.0,3,0.0,2942.666667,12.06096866,13.76565471
0.0,4,0.0,3432.0,11.97524289,13.76565471
0.0,5,0.0,6307.8,12.29689257,13.81642843
0.0,3,0.0,2199.0,12.56473094,
0.0,3,0.0,8587.666667,11.95195989,13.61112027
0.0,3,0.0,15187.333330000001,11.87390604,13.61112027
