year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
2001,4,0.75,6175.75,13.45635631,16.96605863
2002,4,1.0,9429.75,13.32520666,16.96605863
2003,4,1.0,9424.0,13.32520666,16.96605863
2004,2,1.0,13632.5,12.82379391,15.64004377
2005,2,1.0,12646.5,12.43999392,14.713143300000002
2007,1,0.0,15049.0,15.51120385,17.91617709
2008,7,0.7142857142857143,8713.714286,13.64862399,16.14897604
2009,8,0.875,7105.625,13.17657879,15.74726684
2010,10,0.6,5520.5,12.73269361,15.375304849999997
2011,17,0.35294117647058826,6355.588235117647,12.592464181764706,12.42425962764706
2012,18,0.5555555555555556,5596.666666444445,13.33362469,10.396788446666667
2013,18,0.5,5843.8333332777775,12.140086341666667,12.858764662777778
2014,23,0.43478260869565216,6713.000000043478,12.677584548695652,12.896717436956521
2015,27,0.4074074074074074,7111.4444442592585,13.220800934074074,13.590700767407407
2016,36,0.4722222222222222,9177.083333333334,12.937961520833333,13.9754174225
2017,36,0.4166666666666667,7802.055555666668,12.667286805555555,13.787426111666667
2018,26,0.5384615384615384,8924.653844615385,13.328738445384618,12.244763230384617
2019,25,0.48,8548.920000080001,13.2885921572,13.155046027200001
