year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
1999,1,0.0,2969.0,11.12536232,
2000,2,0.0,4428.0,14.70004531,16.6881
2001,4,0.0,3087.0,11.37190483,10.57760985
2002,4,0.0,2483.0,11.52792178,
2004,2,1.0,1846.0,14.21063492,
2005,2,1.0,1846.0,14.21063492,
2006,5,0.4,3249.2,13.74580942,15.31134782
2007,6,0.3333333333333333,5203.833333,13.60588997,19.38786093
2008,5,0.4,4118.4,12.18721652,19.38786093
2009,3,0.3333333333333333,5305.333333,13.059023800000002,19.38786093
2010,6,0.0,6140.666667,13.15303809,19.38786093
2011,5,0.0,6164.0,13.05788693,19.38786093
2012,7,0.14285714285714285,3670.285714,11.59083754,19.38786093
2013,8,0.125,2399.25,10.85228382,
2014,6,0.0,2519.0,10.53062165,
2015,5,0.4,1950.2,10.88927897,
2016,1,1.0,1275.0,11.66514286,
2018,2,1.0,26342.5,13.660202400000001,15.86684102
2019,6,0.3333333333333333,12241.16667,11.18203717,16.48601716
