year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
2011,9,0.4444444444444444,8725.777777777777,13.611401896666667,15.591581131111111
2012,12,0.75,10602.583331666667,12.93441784,15.475259030000002
2013,11,1.0,14734.818181818182,12.746677822727271,15.007764657272725
2014,9,0.8888888888888888,8673.555555555555,11.89790118,14.745921846666667
2015,11,1.0,9557.454545454546,12.039389144545453,14.611842086363636
2016,15,0.9333333333333333,11645.999998000001,12.276010661333332,14.758271712
2017,16,0.9375,11859.812499374999,12.38872540625,14.900624699375001
2019,15,1.0,15353.466668666666,14.888285411999998,16.138988579333333
2000,2,1.0,17061.0,13.794495199999998,16.40432271
2001,2,1.0,12877.5,13.55564827,16.13243011
2002,2,1.0,8695.5,13.34861953,15.81767023
2003,4,0.5,8495.0,12.86655104,15.04441593
2004,4,0.5,8458.25,12.87248077,15.10455684
2005,4,0.5,8421.5,12.87841049,15.16469775
2006,4,0.5,8016.25000025,12.80507196,15.044113424999999
2007,4,0.5,10649.0,12.841240365,14.956884850000002
2009,4,0.5,13666.0,13.00594998,14.87864522
2010,5,0.4,11977.6,13.602307630000002,15.615734272000001
2018,13,1.0,14761.0,14.080899701538462,15.864482877692309
2008,2,1.0,18872.5,13.63976485,15.31429327
