year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1997,1,8.0,1667.0,15.89768421,0.0,False,adult;entertainment;streamingmedia - business;entertainment;streamingmedia - education;entertainment;streamingmedia - entertainment;streamingmedia - 
1998,1,8.0,1667.0,15.89768421,0.0,False,adult;entertainment;streamingmedia - business;entertainment;streamingmedia - education;entertainment;streamingmedia - entertainment;streamingmedia - 
1999,7,13.714285714285714,7236.142857142857,13.546251772857143,10.453408042857143,False,adult;entertainment;streamingmedia - business;entertainment;streamingmedia - education;entertainment;streamingmedia - entertainment;streamingmedia - 
2000,17,12.647058823529411,9604.176470588236,12.240693272352942,9.06834885,False,adult;entertainment;streamingmedia - business;entertainment;streamingmedia - education;entertainment;streamingmedia - entertainment;streamingmedia - 
2001,25,4.52,8558.16,11.9770347584,9.493975054,False,adult;entertainment;streamingmedia - business;entertainment;streamingmedia - education;entertainment;streamingmedia - entertainment;streamingmedia - 
2002,35,3.7714285714285714,7610.942857142857,11.796793473714287,9.85985079342857,False,adult;entertainment;streamingmedia - business;entertainment;streamingmedia - education;entertainment;streamingmedia - entertainment;streamingmedia - 
2003,40,4.85,8316.925,12.0791029095,8.73231299725,False,adult;entertainment;streamingmedia - business;entertainment;streamingmedia - education;entertainment;streamingmedia - entertainment;streamingmedia - 
2004,40,6.725,8939.2,12.371544473,11.5691053775,False,adult;entertainment;streamingmedia - business;entertainment;streamingmedia - education;entertainment;streamingmedia - entertainment;streamingmedia - 
2005,46,7.043478260869565,10671.91304347826,12.550936594347826,11.281090665217391,False,adult;entertainment;streamingmedia - business;entertainment;streamingmedia - education;entertainment;streamingmedia - entertainment;streamingmedia - 
2006,61,6.114754098360656,10142.360655737704,12.339329436229507,10.45715392262295,False,adult;entertainment;streamingmedia - business;entertainment;streamingmedia - education;entertainment;streamingmedia - entertainment;streamingmedia - 
2007,80,4.9125,9120.8125,12.390136857875001,9.8620427695,False,adult;entertainment;streamingmedia - business;entertainment;streamingmedia - education;entertainment;streamingmedia - entertainment;streamingmedia - 
2008,109,4.669724770642202,9528.119266055046,12.853058124036696,9.176012082752294,False,adult;entertainment;streamingmedia - business;entertainment;streamingmedia - education;entertainment;streamingmedia - entertainment;streamingmedia - 
2009,144,4.208333333333333,8590.930555555555,12.726930462569445,9.499246234513889,False,adult;entertainment;streamingmedia - business;entertainment;streamingmedia - education;entertainment;streamingmedia - entertainment;streamingmedia - 
2010,196,3.260204081632653,8239.714285714286,12.839970660204083,8.608437190459185,False,adult;entertainment;streamingmedia - business;entertainment;streamingmedia - education;entertainment;streamingmedia - entertainment;streamingmedia - 
2011,269,3.3940520446096656,8296.167286245352,12.817727924535314,8.72184562527881,False,adult;entertainment;streamingmedia - business;entertainment;streamingmedia - education;entertainment;streamingmedia - entertainment;streamingmedia - 
2012,343,3.303206997084548,7669.032069970845,12.908281035276968,8.112721019533529,False,adult;entertainment;streamingmedia - business;entertainment;streamingmedia - education;entertainment;streamingmedia - entertainment;streamingmedia - 
2013,410,3.5317073170731708,8349.168292682927,12.908840653902438,8.635295674390244,False,adult;entertainment;streamingmedia - business;entertainment;streamingmedia - education;entertainment;streamingmedia - entertainment;streamingmedia - 
2014,450,3.6133333333333333,8700.028888888888,13.138301655333336,8.876642117333333,False,adult;entertainment;streamingmedia - business;entertainment;streamingmedia - education;entertainment;streamingmedia - entertainment;streamingmedia - 
2015,503,3.5685884691848906,8635.44731610338,13.130955406560636,8.486530485089462,False,adult;entertainment;streamingmedia - business;entertainment;streamingmedia - education;entertainment;streamingmedia - entertainment;streamingmedia - 
2016,591,3.2351945854483923,8627.213197969542,13.056074339932318,8.41401479001692,False,adult;entertainment;streamingmedia - business;entertainment;streamingmedia - education;entertainment;streamingmedia - entertainment;streamingmedia - 
2017,572,3.152097902097902,8390.975524475525,12.978509701573426,8.377120293881118,False,adult;entertainment;streamingmedia - business;entertainment;streamingmedia - education;entertainment;streamingmedia - entertainment;streamingmedia - 
2018,446,3.782511210762332,9458.078475336322,13.096335876233184,9.276073987892378,False,adult;entertainment;streamingmedia - business;entertainment;streamingmedia - education;entertainment;streamingmedia - entertainment;streamingmedia - 
2019,432,4.532407407407407,11821.94675925926,13.19839696412037,10.592769163657408,False,adult;entertainment;streamingmedia - business;entertainment;streamingmedia - education;entertainment;streamingmedia - entertainment;streamingmedia - 
