year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
2008,1,0.0,8205.0,15.26523186,17.04445562
2009,2,0.0,8205.0,15.26523186,17.04445562
2010,1,0.0,8205.0,15.26523186,17.04445562
2011,4,0.25,11103.0,14.31521131,16.932603399999998
2012,4,0.5,13425.0,14.85893755,17.60795777
2013,5,0.4,9920.6,14.79279629,17.01952845
2014,7,0.2857142857142857,7449.0,14.20703102,15.89801024
2015,6,0.0,8404.0,13.64940067,15.54261765
2016,7,0.14285714285714285,7523.714286,12.89508619,14.81158868
2017,5,0.0,6965.8,11.26912535,13.59385279
2018,7,0.42857142857142855,11935.85714,12.22906537,14.62904406
2019,3,0.3333333333333333,25645.0,12.74535382,14.98120462
