year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2000,1,0.0,4228.0,10.98965184,13.18742774,True,gambling;sports
2001,1,0.0,4225.0,10.98965184,13.18742774,True,gambling;sports
2002,1,0.0,6825.0,12.50094015,14.01833969,True,gambling;sports
2003,4,0.0,4151.0,13.15482189,7.009169845,True,gambling;sports
2004,3,0.0,5499.0,13.163484863333332,9.770268446666668,True,gambling;sports
2005,2,0.0,8195.0,13.18081081,15.292465655,True,gambling;sports
2006,4,2.0,7355.5,13.2176679575,15.24758177,True,gambling;sports
2007,5,3.2,10752.2,12.952223417999999,11.562361740000002,True,gambling;sports
2008,11,2.0,6568.818181818182,12.704727854545455,7.962216954545454,True,gambling;sports
2009,8,1.625,5374.5,13.1041519625,5.46599596375,True,gambling;sports
2010,10,2.1,6447.6,12.89744619,8.876139383,True,gambling;sports
2011,22,2.6363636363636362,8536.863636363636,12.667681981818184,11.59950474090909,True,gambling;sports
2012,28,2.9285714285714284,9168.535714285714,12.525493664285715,12.749614707142857,True,gambling;sports
2013,26,2.730769230769231,10667.653846153846,12.45988053076923,12.364418307692308,True,gambling;sports
2014,24,2.125,10276.458333333334,12.377938179166668,11.361460579166666,True,gambling;sports
2015,26,2.1538461538461537,10294.115384615385,12.491955138461538,12.222892119230771,True,gambling;sports
2016,26,1.5,12007.346153846154,12.402180715384615,13.799579603846153,True,gambling;sports
2017,28,1.9642857142857142,12706.642857142857,12.422698314285714,11.740373078571427,True,gambling;sports
2018,32,2.0,14356.9375,13.1619544625,12.426644,True,gambling;sports
2019,31,1.064516129032258,13364.354838709678,13.542251177419356,12.913784787096775,True,gambling;sports
