year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
2000,1,0.0,11638.0,11.39786875,13.5591
2001,1,0.0,11638.0,11.39786875,13.5591
2002,2,0.0,2557.5,11.46113982,
2003,2,0.0,2888.0,11.27377528,
2005,3,0.0,10957.0,10.85665839,13.42081328
2006,4,0.5,18777.0,13.40854986,16.06986694
2007,6,0.5,13737.666669999999,13.713978299999999,16.43241409
2008,4,0.5,3942.5,12.00118923,13.50681897
2009,6,0.6666666666666666,6994.166667,11.56440364,14.32957532
2010,13,0.38461538461538464,5960.153846,12.36808406,15.49678883
2011,16,0.5625,6816.5625,12.3143586,15.04097715
2012,12,0.4166666666666667,6956.583333,12.19643383,14.68220637
2013,23,0.5217391304347826,8194.652173999999,12.62810945,14.929363500000001
2014,26,0.5,8674.461538,12.95386599,14.64239626
2015,26,0.4230769230769231,8710.692308,12.88957739,14.76908381
2016,30,0.4666666666666667,7675.8,12.88790054,15.21582277
2017,38,0.42105263157894735,8722.710526,12.90504292,14.9830407
2018,33,0.45454545454545453,7865.0909090000005,12.61789087,14.7230174
2019,38,0.5263157894736842,12015.05263,12.49105275,14.376107800000002
