year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
2001,2,1.0,3882.0,9.013333333,0.0
2002,2,1.0,4655.5,8.299551282000001,0.0
2003,2,1.0,5373.5,8.757312954,0.0
2004,2,1.0,6120.5,9.196848691,0.0
2008,2,1.0,7444.0,11.1280734455,7.7570194
2009,3,1.0,7053.666666666667,10.360572324000001,5.0974885500000005
2011,5,0.6,5786.6,11.830341796,3.05849313
2012,7,0.7142857142857143,7746.428571428572,12.601141527142858,15.768000408571428
2013,4,0.75,10427.75,13.36914963,16.06083462
2014,4,0.75,13684.75,14.5989019,16.05239903
2015,8,0.625,11526.5,14.19408721,15.837902629999999
2016,8,0.75,11269.1249975,14.0749405525,15.3602003525
2017,3,1.0,10926.333333333334,13.827221936666666,14.742889839999998
2018,2,1.0,12007.5,13.50406872,15.04027923
2019,2,1.0,13283.0,13.01722835,15.33710201
2006,1,1.0,8982.0,12.74408463,14.69652958
2007,2,1.0,12177.0,12.76165195,14.26529262
2010,1,1.0,8263.0,12.85981221,15.29246565
