year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2008,2,0.0,2077.0,23.926719100000003,0.0,False,business;informationtech;searchenginesandportals - education;informationtech;searchenginesandportals - informationtech;searchenginesandportals - 
2009,1,0.0,2077.0,23.926719100000003,0.0,False,business;informationtech;searchenginesandportals - education;informationtech;searchenginesandportals - informationtech;searchenginesandportals - 
2010,3,0.0,5592.0,11.587077090000001,3.888807646666667,False,business;informationtech;searchenginesandportals - education;informationtech;searchenginesandportals - informationtech;searchenginesandportals - 
2011,6,0.8333333333333334,7649.666666666667,10.494031793333333,8.116085661666666,False,business;informationtech;searchenginesandportals - education;informationtech;searchenginesandportals - informationtech;searchenginesandportals - 
2012,5,0.0,8320.8,10.454122397999999,7.037939002,False,business;informationtech;searchenginesandportals - education;informationtech;searchenginesandportals - informationtech;searchenginesandportals - 
2013,6,0.0,6210.666666666667,11.757686503333332,3.993082825,False,business;informationtech;searchenginesandportals - education;informationtech;searchenginesandportals - informationtech;searchenginesandportals - 
2014,6,0.0,8408.0,10.980664665,8.317669895,False,business;informationtech;searchenginesandportals - education;informationtech;searchenginesandportals - informationtech;searchenginesandportals - 
2015,3,0.0,4972.666666666667,12.72418533,4.656091316666667,False,business;informationtech;searchenginesandportals - education;informationtech;searchenginesandportals - informationtech;searchenginesandportals - 
2016,2,0.0,4081.5,13.099290815,0.0,False,business;informationtech;searchenginesandportals - education;informationtech;searchenginesandportals - informationtech;searchenginesandportals - 
2017,6,0.0,4237.666666666667,12.828904331666665,2.449421596666667,False,business;informationtech;searchenginesandportals - education;informationtech;searchenginesandportals - informationtech;searchenginesandportals - 
2018,7,3.4285714285714284,9765.285714285714,11.379442042857145,9.412881071428572,False,business;informationtech;searchenginesandportals - education;informationtech;searchenginesandportals - informationtech;searchenginesandportals - 
2019,4,0.0,6447.0,10.14276624,9.4279832325,False,business;informationtech;searchenginesandportals - education;informationtech;searchenginesandportals - informationtech;searchenginesandportals - 
