year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
1.0,2,1.0,16710.5,13.44670202,15.1996702
1.0,2,1.0,17232.0,13.43800136,14.92929796
1.0,2,1.0,23032.5,14.1203233,14.97521382
1.0,1,1.0,28210.0,14.84147737,14.83674596
0.0,1,0.0,13508.0,16.50700131,18.6344097
0.0,2,0.0,14848.5,16.5658521,18.49344942
0.0,2,0.0,14849.0,16.5658521,18.49344942
0.0,1,0.0,17358.0,14.6908137,17.7311
0.0,2,0.0,20257.5,14.76994154,16.23881583
0.0,1,0.0,20732.0,14.54755701,16.11434528
0.0,1,0.0,20727.0,14.54721957,16.11434528
