year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
2001,1,1.0,34547.0,12.67920658,15.06678064
2003,1,1.0,37901.0,12.66671119,15.24766489
2004,1,1.0,36507.0,13.38223688,15.6451
2005,1,1.0,37609.0,12.54444403,15.73171695
2006,3,1.0,26739.666666666668,13.872090103333333,16.65950206333333
2007,1,1.0,34563.0,12.77458498,15.47004243
2009,1,1.0,32152.0,13.62825069,16.36328637
2010,2,1.0,32523.5,13.62890989,16.44498198
2011,2,1.0,31281.0,13.89663308,17.08348895
2012,3,1.0,25679.666666666668,13.386573206666668,16.291505286666666
2013,3,1.0,26090.666666666668,13.686361143333334,16.29356288
2014,4,1.0,22796.25,13.541917694999999,15.82184683
2015,2,1.0,31730.0,13.58172633,16.80791676
2016,2,1.0,31730.0,13.58172633,16.80791676
2017,2,1.0,31730.0,13.58172633,16.80791676
2018,2,1.0,32608.0,13.65522992,16.56721497
2019,2,1.0,32604.0,13.61332969,16.54694628
