year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
2004,2,0.0,4273.0,12.8647804,0.0
2005,2,0.0,4273.0,12.8647804,0.0
2006,2,0.0,4273.0,12.8647804,0.0
2007,3,0.3333333333333333,7811.0,13.217638290000002,5.576052073333333
2008,2,0.0,4273.0,12.8647804,0.0
2009,2,0.0,4282.5,12.85585368,0.0
2011,1,0.0,4290.0,12.84692696,0.0
2012,3,0.3333333333333333,5320.0,12.525081890000001,13.968273950000002
2013,4,0.5,5835.0,12.36415935,13.96827395
2014,7,0.5714285714285714,5455.142857285714,11.558264061428572,13.295936591428571
2015,5,0.2,4780.6,11.851463564,11.13428648
2016,6,0.0,4558.5,12.643858233333333,9.244961493333333
2017,7,0.14285714285714285,6661.4285712857145,12.909541801428572,14.77055314
2018,2,0.0,4288.5,13.101842035,0.0
2019,1,1.0,15499.0,13.37550395,15.20269789
