year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
1.0,1,1.0,32407.0,15.424682199999998,15.47004243
0.6666666666666666,3,0.6666666666666666,10457.33333,14.71779899,15.74290102
0.0,2,0.0,3823.0,11.25001827,13.45427322
0.0,3,0.0,5544.0,10.22113749,12.98492067
0.5,4,0.5,12824.25,11.02534769,13.81984476
0.6,5,0.6,12334.2,12.45454785,14.56053941
0.6,5,0.6,12994.4,13.12008279,14.32291251
0.5,4,0.5,14735.75,12.8306073,13.24136018
0.5,4,0.5,14707.5,12.75547234,14.29568103
0.0,2,0.0,6340.0,10.05718441,13.24136018
1.0,2,1.0,20009.0,8.834936235,12.5161
1.0,4,1.0,22117.5,10.19921676,12.5161
