year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
2000,1,1.0,3020.0,12.15658009,0.0
2001,2,1.0,3342.0,12.349828500000001,0.0
2002,6,0.3333333333333333,3229.5,12.228422176666667,0.0
2003,6,0.3333333333333333,3229.6666666666665,12.227738870000001,0.0
2004,6,0.3333333333333333,3344.1666666666665,12.57162154,9.860129666666667
2005,8,0.375,4345.875,13.127348365,15.041330075000001
2006,13,0.3076923076923077,5490.538461307693,13.291855692307694,15.74265662153846
2007,17,0.23529411764705882,6184.352941117647,13.288361699411764,15.760205671764705
2008,17,0.17647058823529413,7823.52941117647,13.382013289411766,15.741348829411763
2009,18,0.1111111111111111,6724.3333336666665,13.036878366666668,15.294921663333334
2010,26,0.15384615384615385,8260.53846053846,12.81265868076923,15.285995623846153
2011,33,0.15151515151515152,9568.090907272728,12.93062304242424,14.700610596666667
2012,39,0.07692307692307693,11395.66667,12.64960298,14.727462616923077
2013,43,0.09302325581395349,12153.627905348838,12.234339292325581,14.477351270697675
2014,40,0.125,13864.950000499997,12.9036156165,15.403854965499999
2015,43,0.11627906976744186,15218.65116139535,12.606871351395348,14.837598016511627
2016,33,0.15151515151515152,16566.12120818182,13.104529702727273,15.373863125454546
2017,40,0.2,18849.624998000003,12.980111978,15.141094296
2018,29,0.06896551724137931,24137.68965448276,12.90261388448276,14.484258060000002
2019,39,0.2564102564102564,22014.538460769232,13.202926119487179,15.055414147692305
