year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
1999,1,1.0,2189.0,13.71320346,
2000,6,0.5,2793.0,12.12917984,14.69652958
2001,14,0.2857142857142857,4043.142857,12.04840963,14.10379625
2002,16,0.3125,5704.9375,11.6286911,14.09290045
2003,26,0.23076923076923078,5012.5384619999995,11.60423367,14.06933714
2004,19,0.10526315789473684,5132.052632,11.71698722,14.43656044
2005,25,0.12,4961.88,11.58789115,14.35555499
2006,39,0.15384615384615385,5066.589744,11.622802499999999,14.11332235
2007,42,0.09523809523809523,5191.547619,11.56348536,14.15418065
2008,39,0.02564102564102564,5263.666667,11.54759027,13.96884659
2009,49,0.10204081632653061,5755.571429,11.61527697,14.02607061
2010,66,0.15151515151515152,5880.5454549999995,12.05530404,14.56938546
2011,82,0.24390243902439024,6050.121951,12.21846787,14.83238379
2012,104,0.27884615384615385,6060.3365380000005,12.16880884,14.808335500000002
2013,125,0.272,6260.1359999999995,12.08765054,14.7411823
2014,139,0.302158273381295,6563.618705,12.1865937,14.807208900000001
2015,155,0.32903225806451614,6834.058065,12.36472338,15.00984379
2016,151,0.31125827814569534,7336.139073,12.51508873,15.02019787
2017,132,0.3409090909090909,7864.174242,12.76352399,15.13061942
2018,76,0.4342105263157895,10197.72368,13.39163655,15.91988489
2019,99,0.48484848484848486,11371.595959999999,13.11166384,15.46749935
