year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
2013,4,0.0,6061.5,11.3001053875,10.588340145
2014,6,0.0,6441.666666666667,11.748043116666667,9.935423333333334
2015,6,0.0,8029.5,12.02516893,10.312049346666667
2016,7,0.14285714285714285,8795.857142571429,12.450479444285715,12.918390865714287
2009,1,0.0,7858.0,11.20657722,13.96827395
2010,3,0.0,4890.666667,12.16042893,13.968273950000002
2011,3,0.0,5082.333333,12.025859250000002,13.91797589
2012,4,0.0,6111.0,11.88391027,14.11778686
2017,4,0.25,8881.0,12.68850322,14.85882963
2018,6,0.3333333333333333,12494.66667,12.57496725,14.78941132
2019,3,0.6666666666666666,24066.0,12.673265629999998,14.743456459999999
