year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
2004,2,0.0,1432.0,10.93196172,
2005,3,0.0,3209.0,12.13965981,12.74508487
2006,6,0.3333333333333333,4080.0,10.82802277,12.2374916
2007,7,0.14285714285714285,3202.857143,11.43911775,13.97389138
2008,10,0.2,3228.6,12.13089338,14.90841437
2009,6,0.3333333333333333,2718.5,11.92568501,15.6451
2010,13,0.23076923076923078,3713.6923079999997,12.01799262,14.0244571
2011,17,0.35294117647058826,4875.235294,13.08568716,15.022341800000001
2012,16,0.375,5240.25,12.67298391,14.989310999999999
2013,19,0.47368421052631576,6890.315789,12.93455132,15.08022792
2014,26,0.5,7420.692308,13.27823199,15.60587275
2015,34,0.5882352941176471,7714.588234999999,13.3159611,15.39442481
2016,40,0.55,8217.05,13.30443914,15.01255027
2017,43,0.5813953488372093,9591.790698,13.587636499999999,15.47541679
2018,38,0.5,10101.0,13.17679018,15.04211224
2019,26,0.5769230769230769,11866.5,13.73475972,15.64155127
