year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
2005,2,0.0,1704.0,12.06242059,
2006,1,0.0,1704.0,12.06242059,
2007,2,0.0,1704.0,12.06242059,
2008,4,0.0,3667.0,11.16964539,12.51592115
2009,4,0.0,3694.0,11.31523195,12.5161
2010,4,0.0,3691.0,11.32348706,12.5161
2011,2,0.0,3690.5,11.32348706,12.5161
2012,2,0.0,1905.0,12.67553922,
2013,3,0.0,2447.333333,13.008878,
2014,1,0.0,1905.0,12.67553922,
2015,2,0.0,1905.0,12.67553922,
2016,2,0.0,5540.5,11.92198251,13.24136018
2017,2,0.0,1905.0,12.67553922,
2018,2,0.0,1905.0,12.67553922,
2019,4,0.5,3856.5,11.8757948,13.40145869
