year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
2004,2,0.0,1361.5,9.758737112999999,0.0
2008,1,1.0,5546.0,14.32466362,0.0
2009,2,1.0,5546.0,14.32466362,0.0
2010,2,1.0,5440.5,14.12562793,0.0
2011,2,1.0,5363.0,14.01368589,0.0
2012,2,1.0,5363.0,14.01368589,0.0
2013,2,1.0,5363.0,14.01368589,0.0
2014,2,1.0,5415.0,13.982658800000001,0.0
2015,1,1.0,5467.0,13.951631699999998,0.0
2016,2,1.0,5474.0,13.94384642,0.0
2017,2,1.0,5481.0,13.93606113,0.0
2018,2,1.0,5481.0,13.93606113,0.0
2019,2,1.0,5481.0,13.93606113,0.0
