year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2005,2,8.0,7901.0,13.75525548,16.48601716,False,adult;entertainment;shopping - 
2006,2,8.0,7901.0,13.75525548,16.48601716,False,adult;entertainment;shopping - 
2008,2,2.5,10831.0,10.167637065,12.58333811,False,adult;entertainment;shopping - 
2009,7,1.8571428571428572,6669.571428571428,11.149758292857143,8.244068022857142,False,adult;entertainment;shopping - 
2010,12,2.4166666666666665,7037.333333333333,11.790477349999998,8.539886083333334,False,adult;entertainment;shopping - 
2011,15,1.9333333333333333,6384.6,12.074278593333334,6.712146386666666,False,adult;entertainment;shopping - 
2012,25,1.84,6494.48,12.030942548,6.979968347999999,False,adult;entertainment;shopping - 
2013,28,1.5714285714285714,7094.035714285715,12.037244957142857,7.977292017857144,False,adult;entertainment;shopping - 
2014,29,1.5172413793103448,6818.827586206897,12.243908037931035,7.214608606896553,False,adult;entertainment;shopping - 
2015,29,1.3103448275862069,6064.310344827586,12.154381831034485,6.6489423068965525,False,adult;entertainment;shopping - 
2016,30,2.1,7765.6,12.389889166666668,8.23967175,False,adult;entertainment;shopping - 
2017,28,2.9642857142857144,8123.142857142857,12.377206303571429,9.229779139285714,False,adult;entertainment;shopping - 
2018,23,4.391304347826087,9180.869565217392,12.419934473913042,12.538192804347828,False,adult;entertainment;shopping - 
2019,20,3.75,9677.3,12.2674402,12.234156665,False,adult;entertainment;shopping - 
