year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
2009,1,0.0,991.0,15.29252137,0.0
2010,2,1.0,5887.0,12.64197615,14.6021
2011,3,0.3333333333333333,3747.0,12.89438261,14.6021
2012,2,0.0,2677.0,13.02058584,0.0
2013,3,0.3333333333333333,3747.0,12.89438261,14.6021
2014,2,0.0,2670.0,13.02058584,0.0
2015,2,0.0,3409.0,13.84096774,0.0
2016,5,0.6,8803.6,13.275981830000001,14.805649460000001
2017,5,0.8,8656.8,12.21481184,14.64712533
2018,5,1.0,19687.6,14.51363844,15.20269789
2019,2,1.0,19676.0,14.51611522,15.20269789
