year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
2000,1,0.0,3883.0,10.85510204,
2001,1,0.0,8070.0,11.86770115,13.5591
2002,1,0.0,11418.0,12.36594185,13.714393900000001
2003,2,0.0,11418.0,12.36594185,13.714393900000001
2005,1,0.0,8070.0,11.86770115,13.5591
2006,2,0.0,13776.5,10.69210482,13.70989919
2007,3,0.0,15940.0,11.1896003,14.15319302
2008,5,0.2,14432.0,12.01151974,14.55666415
2009,3,0.3333333333333333,12942.66667,12.1302095,14.17020133
2010,4,0.5,12746.75,12.13532176,14.11971949
2011,7,0.42857142857142855,11937.0,12.8767431,14.29163451
2012,7,0.5714285714285714,12277.57143,12.34711577,13.84838335
2013,9,0.5555555555555556,11737.77778,12.38848041,13.87978234
2014,7,0.5714285714285714,12178.14286,12.15748858,13.78193266
2015,6,0.5,13570.833330000001,11.82707684,13.48495032
2016,7,0.42857142857142855,12188.57143,12.33505624,14.0919289
2017,9,0.4444444444444444,19865.66667,13.42306628,14.56067178
2018,7,0.7142857142857143,29682.42857,14.55718384,15.37581713
2019,4,1.0,38663.0,15.54716108,15.68848315
