year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
2006,2,0.0,2435.0,11.90565181,0.0
2007,2,0.0,2435.0,11.90565181,0.0
2008,2,0.0,2435.0,11.90565181,0.0
2009,1,0.0,2435.0,11.90565181,0.0
2010,1,0.0,2435.0,11.90565181,0.0
2011,2,0.0,2799.0,11.48631416,0.0
2012,2,0.0,2999.0,11.20285088,0.0
2013,2,0.0,3013.0,10.97517243,0.0
2014,2,0.0,2993.0,10.9328046,0.0
2015,2,0.0,2993.0,10.9328046,0.0
2016,2,0.0,2940.0,11.00473771,0.0
2017,1,0.0,2887.0,11.07667082,0.0
2019,2,1.0,24839.0,12.99126813,13.91797589
