year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1997,1,0.0,1839.0,12.49276364,,True,business;entertainment;newsandmedia
1998,3,3.3333333333333335,2924.6666666666665,13.87227155,4.976432653333333,True,business;entertainment;newsandmedia
1999,13,4.846153846153846,4041.076923076923,13.321781676923077,6.7507621530769235,True,business;entertainment;newsandmedia
2000,34,4.588235294117647,5829.85294117647,12.664401764705882,10.442815750000001,True,business;entertainment;newsandmedia
2001,68,7.161764705882353,8553.39705882353,12.635266625,12.470845652941177,True,business;entertainment;newsandmedia
2002,103,6.388349514563107,9404.757281553399,12.280756970873787,12.469955174757281,True,business;entertainment;newsandmedia
2003,115,5.765217391304348,9386.44347826087,12.51842151304348,11.880329965217394,True,business;entertainment;newsandmedia
2004,130,6.138461538461539,9758.253846153846,12.515886723076923,12.517132023076924,True,business;entertainment;newsandmedia
2005,120,6.8,11065.925,12.376626958333333,13.170995758333333,True,business;entertainment;newsandmedia
2006,136,6.1911764705882355,10608.83088235294,12.324693419117649,13.32477663235294,True,business;entertainment;newsandmedia
2007,161,6.540372670807454,11463.881987577639,12.641912006211179,13.728056770186333,True,business;entertainment;newsandmedia
2008,173,5.589595375722543,10282.473988439306,12.57342083236994,13.52987385549133,True,business;entertainment;newsandmedia
2009,193,5.715025906735751,10670.917098445596,12.958516336787564,14.056981512953369,True,business;entertainment;newsandmedia
2010,222,6.887387387387387,12829.220720720721,12.99090845945946,13.814668387387387,True,business;entertainment;newsandmedia
2011,293,6.948805460750854,13117.300341296928,13.098967962457339,13.94227461433447,True,business;entertainment;newsandmedia
2012,325,7.076923076923077,14022.384615384615,13.161150104615386,14.010763215384616,True,business;entertainment;newsandmedia
2013,337,5.994065281899109,13088.54005934718,13.2228206231454,13.490627688427299,True,business;entertainment;newsandmedia
2014,359,6.197771587743732,13770.738161559888,13.313910947075208,13.54991338718663,True,business;entertainment;newsandmedia
2015,375,5.957333333333334,14128.666666666666,13.341073498666665,13.740141392,True,business;entertainment;newsandmedia
2016,371,5.989218328840971,14449.11320754717,13.435333792452829,13.697744541778976,True,business;entertainment;newsandmedia
2017,381,6.175853018372703,14633.55905511811,13.318296774278215,13.678958905511811,True,business;entertainment;newsandmedia
2018,337,6.700296735905044,18855.54896142433,13.32915303264095,14.285509786350147,True,business;entertainment;newsandmedia
2019,322,6.816770186335404,20882.00310559006,13.31362245341615,14.377369375776398,True,business;entertainment;newsandmedia
