year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
2000,1,1.0,7064.0,11.34644023,13.81666965
2001,2,1.0,7637.5,12.43517833,14.73088482
2002,2,0.0,4623.5,11.22218962,13.56908448
2003,4,0.75,8428.5,12.77237987,14.41086994
2004,4,1.0,9051.5,13.15263503,15.00621795
2005,6,1.0,7475.0,13.260706140000002,15.00621795
2006,8,0.875,7612.625,13.04850755,14.78041809
2007,10,0.7,7595.5,13.07163762,14.85273316
2008,13,0.6923076923076923,7175.769231,13.15710139,14.95269222
2009,18,0.5,6201.111111,13.3705428,15.418498199999997
2010,20,0.5,6554.9,13.609789790000002,15.751189110000002
2011,26,0.3076923076923077,5990.192308,13.16654025,15.44105387
2012,27,0.4074074074074074,7032.407407,13.40591991,15.70013339
2013,36,0.5,7904.527778,13.4081589,15.876791500000003
2014,44,0.4772727272727273,8729.022727,13.505394620000002,15.895455849999998
2015,39,0.41025641025641024,8906.333333,13.577809909999997,15.95986304
2016,50,0.48,12221.1,13.474881900000003,15.71517515
2017,45,0.5111111111111111,9084.2,12.85301658,15.19411973
2018,39,0.48717948717948717,11955.4359,13.01845324,15.20372413
2019,45,0.4444444444444444,13839.822219999998,13.166234099999999,15.40207182
