year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
1998,1,1.0,1714.0,14.85273712,
1999,4,0.5,2246.25,13.74393709,13.2950065
2000,9,0.3333333333333333,4206.888889,11.26454501,14.37265358
2001,7,0.14285714285714285,6128.428571,11.0951886,14.26691292
2002,19,0.15789473684210525,5431.789474,11.23465308,15.25904822
2003,17,0.35294117647058826,5900.294118,10.97016674,14.8456095
2004,19,0.3684210526315789,5593.736842,11.23959612,14.73294825
2005,21,0.47619047619047616,6232.761904999999,11.90391917,14.73393151
2006,33,0.5454545454545454,6454.151515,11.98802691,14.68540166
2007,36,0.5277777777777778,5999.555556,12.30033301,14.76440086
2008,55,0.41818181818181815,6201.0,12.66148148,14.95014228
2009,49,0.46938775510204084,7019.653061,12.78027248,15.25970541
2010,68,0.4117647058823529,7588.676471,12.70310316,15.07436484
2011,101,0.42574257425742573,7789.009901,12.81418927,14.98365003
2012,117,0.46153846153846156,8254.871795000001,13.00973937,15.17211944
2013,138,0.47101449275362317,8003.775362,12.93868018,15.16988374
2014,157,0.5031847133757962,8393.503185,12.65233377,15.00657102
2015,182,0.532967032967033,8727.39011,12.87628834,15.06196494
2016,181,0.569060773480663,9618.403315000001,12.97570225,15.10100909
2017,140,0.6,10704.22143,13.05900137,15.23188948
2018,97,0.6391752577319587,14415.09278,13.32574987,15.25941763
2019,115,0.6956521739130435,13931.22609,12.90091072,14.8482095
