year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
2006,1,0.0,6653.0,11.29757879,13.96827395
2007,1,0.0,6648.0,11.29757879,13.96827395
2008,2,0.0,6218.0,10.91053347,13.76565471
2009,1,0.0,6218.0,10.91053347,13.76565471
2010,1,0.0,6218.0,10.91053347,13.76565471
2011,1,0.0,6195.0,10.97260477,13.81666965
2012,2,0.0,6195.0,10.97260477,13.81666965
2013,2,0.0,6195.0,10.97260477,13.81666965
2014,2,0.0,6195.0,10.97260477,13.81666965
2015,2,0.0,6195.0,10.97260477,13.81666965
2016,2,0.0,6195.0,10.97260477,13.81666965
2019,2,0.0,7139.0,11.09789911,13.50681897
