year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
2000,1,0.0,2072.0,12.99485294,0.0
2005,1,0.0,1994.0,11.41441026,0.0
2006,2,0.0,2420.5,11.41441026,0.0
2007,2,0.0,2812.0,0.0,0.0
2008,3,0.0,2592.333333,14.96707566,0.0
2009,2,0.0,2475.5,14.96707566,0.0
2010,2,0.5,4800.5,13.16722323,12.96874232
2011,3,0.6666666666666666,7783.666667,11.73105004,13.30191953
2012,6,0.3333333333333333,10268.0,13.077830999999998,14.68566259
2013,8,0.375,9168.75,13.54897421,15.2056522
2014,7,0.5714285714285714,6941.0,13.277294370000002,14.57890434
2015,6,0.3333333333333333,6363.5,14.29617844,15.351942279999998
2016,7,0.14285714285714285,8970.714286,12.01589497,13.94080117
2017,5,0.0,9763.6,12.230502099999999,14.427197099999997
2018,3,0.6666666666666666,12850.0,12.018063149999998,14.025435109999998
2019,4,0.75,15846.75,12.69727925,14.92504011
