year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
2004,2,0.0,4273.0,12.8647804,0.0
2005,2,0.0,4273.0,12.8647804,0.0
2006,2,0.0,4273.0,12.8647804,0.0
2007,2,0.0,4273.0,12.8647804,0.0
2008,2,0.0,4273.0,12.8647804,0.0
2009,2,0.0,4282.5,12.85585368,0.0
2011,1,0.0,4290.0,12.84692696,0.0
2012,3,0.3333333333333333,5320.0,12.525081890000001,13.968273950000002
2013,4,0.5,5835.0,12.36415935,13.96827395
2014,4,0.5,5835.0,12.36415935,13.96827395
2015,4,0.25,5674.75,12.25643202,13.9178581
2016,4,0.0,5527.25,12.14870468,13.86744224
2017,3,0.0,5667.0,12.33924228,13.86744224
2018,1,0.0,5967.0,12.72031746,0.0
