year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
2001,2,0.0,3251.5,10.31251237,
2002,3,0.0,3103.333333,11.43386702,
2003,11,0.09090909090909091,5262.636364,12.43237496,14.26173297
2004,19,0.2631578947368421,7412.736842,13.31186946,15.2925981
2005,23,0.21739130434782608,7195.826087,13.23127988,15.31703162
2006,30,0.26666666666666666,8568.0,13.41799369,15.620033
2007,40,0.3,8774.1,12.89651946,14.92422614
2008,38,0.18421052631578946,8572.5,12.718272099999998,15.15714567
2009,34,0.20588235294117646,9527.823529000001,12.51611106,14.76360518
2010,36,0.2777777777777778,8673.861111,12.31269623,14.575616199999999
2011,51,0.29411764705882354,9235.078431,12.85214017,14.94568174
2012,62,0.1774193548387097,9407.241935,12.63078687,14.82252031
2013,65,0.2,9846.830769,12.95241647,14.90275823
2014,59,0.3050847457627119,9585.254237000001,12.89282943,14.74351223
2015,63,0.3333333333333333,10179.0,13.09591375,14.89843051
2016,69,0.37681159420289856,11659.07246,13.19301914,15.08539871
2017,51,0.43137254901960786,13353.01961,13.48028727,15.379750099999999
2018,33,0.48484848484848486,13755.60606,12.93081662,14.95540736
2019,40,0.575,19988.95,13.49164575,15.26472025
