year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
1999,4,1.0,4307.75,14.15214035,14.74345646
2000,40,0.7,6715.9,13.49894606,14.96123984
2001,65,0.7230769230769231,9372.569231,13.89489066,15.79269708
2002,87,0.6896551724137931,8524.655172,12.87395514,14.98499007
2003,72,0.6805555555555556,7799.319444,12.30464196,14.30009102
2004,102,0.696078431372549,8685.313725,12.4593957,14.38537001
2005,99,0.6262626262626263,8109.383838,12.91331269,14.98779622
2006,134,0.6417910447761194,8108.634328,12.95064672,15.1122161
2007,169,0.621301775147929,8609.366864,13.15056608,15.19072518
2008,170,0.6294117647058823,9079.664706,13.53484793,15.63023427
2009,228,0.7412280701754386,9955.460526,13.80575539,15.91937952
2010,294,0.6836734693877551,9947.173469,13.76134074,15.90163969
2011,360,0.6055555555555555,9621.925,13.36286383,15.66677999
2012,382,0.5890052356020943,10100.502620000001,13.44492366,15.56887966
2013,391,0.6061381074168798,10260.63939,13.40147054,15.56026453
2014,451,0.614190687361419,10662.79601,13.39585492,15.51358475
2015,520,0.5788461538461539,10885.93654,13.34620441,15.53647083
2016,582,0.5618556701030928,12305.03436,13.30919125,15.52724755
2017,590,0.5830508474576271,13748.0678,13.42057505,15.57457552
2018,476,0.6113445378151261,14660.819330000002,13.53850234,15.46919319
2019,496,0.6411290322580645,14969.935480000002,13.33751177,15.21088618
