year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
2003,2,0.0,3740.0,13.02391563,
2004,1,0.0,3740.0,13.02391563,
2007,2,1.0,10168.0,14.27938137,16.36328637
2008,2,1.0,10168.0,14.27938137,16.36328637
2009,2,1.0,10168.0,14.27938137,16.36328637
2010,2,1.0,10171.0,14.27938137,16.36328637
2011,2,1.0,10189.0,14.27938137,16.36328637
2012,2,1.0,10189.0,14.27938137,16.36328637
2013,2,1.0,10189.0,14.27938137,16.36328637
2014,3,0.6666666666666666,7979.0,13.401853899999999,16.36328637
2015,6,0.6666666666666666,7705.333333,14.03518387,17.21293687
2016,4,1.0,9767.5,15.22937634,17.21293687
2017,6,0.6666666666666666,9225.333333,14.56488415,16.43632893
2018,5,0.8,10797.6,15.21768331,16.90656081
