year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
2000,2,0.5,6415.5,12.74546159,13.92733269
2001,1,1.0,10992.0,15.81376313,15.60156596
2002,2,1.0,11167.5,15.42311963,15.68848315
2003,1,1.0,11240.0,15.43059254,15.68848315
2012,4,0.5,11884.0,14.824546905,8.99478127
2013,2,1.0,20091.5,16.22664421,18.11658424
2014,2,1.0,23150.0,16.24541461,18.20757608
2015,1,1.0,34248.0,15.70138945,16.15616582
2006,1,0.0,3570.0,10.02913869,0.0
2007,2,0.0,3570.0,10.02913869,0.0
2008,2,0.0,3570.0,10.02913869,0.0
2009,1,0.0,3603.0,9.737259928,0.0
2010,1,0.0,3608.0,9.737259928,0.0
2011,2,0.0,6480.0,11.007499099999999,15.47004243
2017,1,0.0,7027.0,17.085079399999998,0.0
2018,2,0.0,16629.0,18.06043703,18.80882812
2019,1,1.0,6688.0,12.3009026,15.02112968
