year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
2001,1,1.0,5293.0,10.99470684,12.91330727
2002,3,1.0,5303.0,11.26974882,13.04054035
2003,5,1.0,7411.2,11.90948035,13.41174188
2004,8,1.0,7597.25,11.91846601,13.31038878
2005,8,1.0,6110.0,12.19370237,13.62487953
2006,8,0.875,7199.625,12.59703665,14.27819115
2007,10,1.0,8919.6,12.57409664,14.26281205
2008,11,0.9090909090909091,6628.636364,12.60959134,14.00430097
2009,12,1.0,5303.75,12.28438809,13.47627743
2010,15,0.9333333333333333,5448.866667,12.21890519,13.784857
2011,23,0.8260869565217391,10234.3913,13.26688849,15.38760551
2012,28,0.7142857142857143,10056.32143,13.14530277,15.72699081
2013,27,0.5925925925925926,8560.592593000001,12.93545314,15.33779748
2014,27,0.5185185185185185,5992.666667,13.69133063,15.639145499999998
2015,31,0.6451612903225806,7967.612903,13.57861692,15.31769632
2016,24,0.7916666666666666,8396.208333,13.24402217,15.45010617
2017,23,0.8695652173913043,8688.565217,13.31172917,15.48209354
2018,14,0.8571428571428571,9774.071429000001,13.54310372,15.53673653
2019,18,0.9444444444444444,11930.33333,13.18629615,15.36707438
