year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
2001,2,1.0,3882.0,9.013333333,
2002,2,1.0,4655.5,8.299551282000001,
2003,2,1.0,5373.5,8.757312954,
2004,2,1.0,6120.5,9.196848691,
2008,1,1.0,6449.0,9.110952381,
2009,2,1.0,6449.0,9.110952381,
2011,4,0.5,5108.0,11.55499601,
2012,5,0.6,6848.6,12.29817983,16.0302975
2013,4,0.75,10427.75,13.36914963,16.06083462
2014,3,0.6666666666666666,14578.0,14.96710283,16.44216102
2015,6,0.5,11703.0,14.42734991,16.15616582
2016,6,0.6666666666666666,11359.83333,14.268487699999998,15.51922945
2017,2,1.0,10891.0,13.99368335,14.67277823
2018,2,1.0,12007.5,13.50406872,15.04027923
2019,2,1.0,13283.0,13.01722835,15.33710201
